Mod:Item:MetaData, Localized Name
Botania:prismarine0Slab:0, Плита из призмарина
Botania:prismarine0SlabFull:0, Плита из призмарина
Botania:prismarine1Slab:0, Плита из призмаринового кирпича
Botania:prismarine1SlabFull:0, Плита из призмаринового кирпича
Botania:prismarine2Slab:0, Плита из тёмного призмарина
Botania:prismarine2SlabFull:0, Плита из тёмного призмарина
Botania:customBrick0Slab:0, Плита из адского кирпича
Botania:customBrick0SlabFull:0, Плита из адского кирпича
Botania:customBrick1Slab:0, Плита из кирпича душ
Botania:customBrick1SlabFull:0, Плита из кирпича душ
Botania:customBrick2Slab:0, Плита из ледяного кирпича
Botania:customBrick2SlabFull:0, Плита из ледяного кирпича
Botania:customBrick3Slab:0, Плита из черепицы
Botania:customBrick3SlabFull:0, Плита из черепицы
Botania:dirtPath0Slab:0, Плита из протоптанной земли
Botania:dirtPath0SlabFull:0, Плита из протоптанной земли
Botania:endStoneBrick0Slab:0, Каменная Эндер-кирпичная плита
Botania:endStoneBrick0SlabFull:0, Каменная Эндер-кирпичная плита
Botania:endStoneBrick2Slab:0, Эндер-кирпичная плита
Botania:endStoneBrick2SlabFull:0, Эндер-кирпичная плита
Botania:shimmerrock0Slab:0, Плита из мерцающего камня
Botania:shimmerrock0SlabFull:0, Плита из мерцающего камня
Botania:shimmerwoodPlanks0Slab:0, Плита из мерцающих досок
Botania:shimmerwoodPlanks0SlabFull:0, Плита из мерцающих досок
Botania:biomeStoneA0Slab:0, Метаморфическая лесная каменная плита
Botania:biomeStoneA0SlabFull:0, Метаморфическая лесная каменная плита
Botania:biomeStoneA1Slab:0, Метаморфическая луговая каменная плита
Botania:biomeStoneA1SlabFull:0, Метаморфическая луговая каменная плита
Botania:biomeStoneA2Slab:0, Метаморфическая горная каменная плита
Botania:biomeStoneA2SlabFull:0, Метаморфическая горная каменная плита
Botania:biomeStoneA3Slab:0, Метаморфическая грибная каменная плита
Botania:biomeStoneA3SlabFull:0, Метаморфическая грибная каменная плита
Botania:biomeStoneA4Slab:0, Метаморфическая болотная каменная плита
Botania:biomeStoneA4SlabFull:0, Метаморфическая болотная каменная плита
Botania:biomeStoneA5Slab:0, Метаморфическая пустынная каменная плита
Botania:biomeStoneA5SlabFull:0, Метаморфическая пустынная каменная плита
Botania:biomeStoneA6Slab:0, Метаморфическая таёжная каменная плита
Botania:biomeStoneA6SlabFull:0, Метаморфическая таёжная каменная плита
Botania:biomeStoneA7Slab:0, Метаморфическая столовая каменная плита
Botania:biomeStoneA7SlabFull:0, Метаморфическая столовая каменная плита
Botania:biomeStoneA8Slab:0, Метаморфическая лесная булыжниковая плита
Botania:biomeStoneA8SlabFull:0, Метаморфическая лесная булыжниковая плита
Botania:biomeStoneA9Slab:0, Метаморфическая луговая булыжниковая плита
Botania:biomeStoneA9SlabFull:0, Метаморфическая луговая булыжниковая плита
Botania:biomeStoneA10Slab:0, Метаморфическая горная булыжниковая плита
Botania:biomeStoneA10SlabFull:0, Метаморфическая горная булыжниковая плита
Botania:biomeStoneA11Slab:0, Метаморфическая грибная булыжниковая плита
Botania:biomeStoneA11SlabFull:0, Метаморфическая грибная булыжниковая плита
Botania:biomeStoneA12Slab:0, Метаморфическая болотная булыжниковая плита
Botania:biomeStoneA12SlabFull:0, Метаморфическая болотная булыжниковая плита
Botania:biomeStoneA13Slab:0, Метаморфическая пустынная булыжниковая плита
Botania:biomeStoneA13SlabFull:0, Метаморфическая пустынная булыжниковая плита
Botania:biomeStoneA14Slab:0, Метаморфическая таёжная булыжниковая плита
Botania:biomeStoneA14SlabFull:0, Метаморфическая таёжная булыжниковая плита
Botania:biomeStoneA15Slab:0, Метаморфическая столовая булыжниковая плита
Botania:biomeStoneA15SlabFull:0, Метаморфическая столовая булыжниковая плита
Botania:biomeStoneB0Slab:0, Метаморфическая лесная кирпичная плита
Botania:biomeStoneB0SlabFull:0, Метаморфическая лесная кирпичная плита
Botania:biomeStoneB1Slab:0, Метаморфическая луговая кирпичная плита
Botania:biomeStoneB1SlabFull:0, Метаморфическая луговая кирпичная плита
Botania:biomeStoneB2Slab:0, Метаморфическая горная кирпичная плита
Botania:biomeStoneB2SlabFull:0, Метаморфическая горная кирпичная плита
Botania:biomeStoneB3Slab:0, Метаморфическая грибная кирпичная плита
Botania:biomeStoneB3SlabFull:0, Метаморфическая грибная кирпичная плита
Botania:biomeStoneB4Slab:0, Метаморфическая болотная кирпичная плита
Botania:biomeStoneB4SlabFull:0, Метаморфическая болотная кирпичная плита
Botania:biomeStoneB5Slab:0, Метаморфическая пустынная кирпичная плита
Botania:biomeStoneB5SlabFull:0, Метаморфическая пустынная кирпичная плита
Botania:biomeStoneB6Slab:0, Метаморфическая таёжная кирпичная плита
Botania:biomeStoneB6SlabFull:0, Метаморфическая таёжная кирпичная плита
Botania:biomeStoneB7Slab:0, Метаморфическая столовая кирпичная плита
Botania:biomeStoneB7SlabFull:0, Метаморфическая столовая кирпичная плита
Botania:stone0Slab:0, Андезитовая плита
Botania:stone0SlabFull:0, Андезитовая плита
Botania:stone1Slab:0, Базальтовая плита
Botania:stone1SlabFull:0, Базальтовая плита
Botania:stone2Slab:0, Диоритовая плита
Botania:stone2SlabFull:0, Диоритовая плита
Botania:stone3Slab:0, Гранитная плита
Botania:stone3SlabFull:0, Гранитная плита
Botania:stone8Slab:0, Андезитная кирпичкая плита
Botania:stone8SlabFull:0, Андезитная кирпичная плита
Botania:stone9Slab:0, Базальтовая кирпичная плита
Botania:stone9SlabFull:0, Базальтовая кирпичная плита
Botania:stone10Slab:0, Диоритовая кирпичная плита
Botania:stone10SlabFull:0, Диоритовая кирпичная плита
Botania:stone11Slab:0, Гранитная кирпичная плита
Botania:stone11SlabFull:0, Гранитная кирпичная плита
Botania:pavement0Slab:0, Плита из белой португальской плитки
Botania:pavement0SlabFull:0, Плита из белой португальской плитки
Botania:pavement1Slab:0, Плита из чёрной португальской плитки
Botania:pavement1SlabFull:0, Плита из чёрной португальской плитки
Botania:pavement2Slab:0, Плита из синей португальской плитки
Botania:pavement2SlabFull:0, Плита из синей португальской плитки
Botania:pavement3Slab:0, Плита из красной португальской плитки
Botania:pavement3SlabFull:0, Плита из красной португальской плитки
Botania:pavement4Slab:0, Плита из жёлтой португальской плитки
Botania:pavement4SlabFull:0, Плита из жёлтой португальской плитки
Botania:pavement5Slab:0, Плита из зелёной португальской плитки
Botania:pavement5SlabFull:0, Плита из зелёной португальской плитки
alfheim:AiryVirus:0, Воздушный вирус
alfheim:AiryVirus:1, Воздушный антивирус
alfheim:AlfheimPortal, tile.AlfheimPortal.name
alfheim:AlfheimPylons:0, Эльфийский пилон
alfheim:AlfheimPylons:1, Йордин пилон
alfheim:AlfheimPylons:2, §4Анти-пилон
alfheim:AlfheimPylons:3, Пилон созидания
alfheim:alfStorage:0, Блок эльвория
alfheim:alfStorage:1, §6Блок мауфтрия
alfheim:alfStorage:2, Блок силы Муспельхейма
alfheim:alfStorage:3, Блок силы Нифльхейма
alfheim:amplifier, tile.amplifier.name
alfheim:AnimatedTorch, tile.AnimatedTorch.name
alfheim:Anomaly, tile.Anomaly.name
alfheim:AnomalyHarvester, tile.AnomalyHarvester.name
alfheim:Anyavil, tile.Anyavil.name
alfheim:auroraDirt, Цветная земля
alfheim:auroraLeaves, Цветная листва
alfheim:auroraPlanks, Цветные доски
alfheim:auroraPlanksSlab17:0, Цветная плита
alfheim:auroraPlanksSlabFull17:0, Цветная плита
alfheim:auroraPlanksStairs17:0, Цветные ступеньки
alfheim:auroraWood, Цветная древесина
alfheim:barrel, tile.barrel.name
alfheim:barrier, tile.barrier.name
alfheim:BottomlessChest, tile.BottomlessChest.name
alfheim:CorporeaAutocrafter, tile.CorporeaAutocrafter.name
alfheim:CorporeaInjector, tile.CorporeaInjector.name
alfheim:CorporeaRatBase, tile.CorporeaRatBase.name
alfheim:CorporeaSparkBase, tile.CorporeaSparkBase.name
alfheim:dirt, Dirt
alfheim:DomainDoor:0, Стена домена
alfheim:DomainDoor:1, Ядро домена
alfheim:DomainDoor:2, Врата домена
alfheim:DomainDoor:3, Колонна домена
alfheim:DomainDoor:4, Полублок домена
alfheim:DreamSapling, tile.DreamSapling.name
alfheim:ElvenOre:0, Руда драконьего камня
alfheim:ElvenOre:1, Руда элементия
alfheim:ElvenOre:2, Руда эльфийского кварца
alfheim:ElvenOre:3, Золотая руда
alfheim:ElvenOre:4, Руда иффесалия
alfheim:ElvenOre:5, Лазуритовая руда
alfheim:ElvenSand, tile.ElvenSand.name
alfheim:EnderActuator, tile.EnderActuator.name
alfheim:FlugelHeadBlock, tile.FlugelHeadBlock.name
alfheim:MikuHeadBlock, tile.MikuHeadBlock.name
alfheim:GaiaButton, tile.GaiaButton.name
alfheim:RedGrape1, Красный виноград
alfheim:RedGrape2, Красный виноград
alfheim:RedGrape3, Красный виноград
alfheim:RedGrapePlanted, Красный виноград
alfheim:WhiteGrape, Зелёный виноград
minecraft:record_13, Пластинка
minecraft:record_cat, Пластинка
minecraft:record_blocks, Пластинка
minecraft:record_chirp, Пластинка
minecraft:record_far, Пластинка
minecraft:record_mall, Пластинка
minecraft:record_mellohi, Пластинка
minecraft:record_stal, Пластинка
minecraft:record_strad, Пластинка
minecraft:record_ward, Пластинка
minecraft:record_11, Пластинка
minecraft:record_wait, Пластинка
alfheim:Icicle:0, Сосульки
alfheim:Icicle:1, Сосульки
alfheim:Icicle:2, Сосульки
alfheim:Icicle:3, Сосульки
alfheim:IcyGeyser, tile.IcyGeyser.name
alfheim:itemDisplay:0, Предметная платформа из манастали
alfheim:itemDisplay:1, Предметная платформа из террастали
alfheim:itemDisplay:2, Предметная платформа из элементия
alfheim:itemDisplay:3, Предметная платформа из эльвория
alfheim:itemDisplay:4, Предметная платформа из мауфтрия
alfheim:coloredDirt:0, Цветная земля
alfheim:coloredDirt:1, Цветная земля
alfheim:coloredDirt:2, Цветная земля
alfheim:coloredDirt:3, Цветная земля
alfheim:coloredDirt:4, Цветная земля
alfheim:coloredDirt:5, Цветная земля
alfheim:coloredDirt:6, Цветная земля
alfheim:coloredDirt:7, Цветная земля
alfheim:coloredDirt:8, Цветная земля
alfheim:coloredDirt:9, Цветная земля
alfheim:coloredDirt:10, Цветная земля
alfheim:coloredDirt:11, Цветная земля
alfheim:coloredDirt:12, Цветная земля
alfheim:coloredDirt:13, Цветная земля
alfheim:coloredDirt:14, Цветная земля
alfheim:coloredDirt:15, Цветная земля
alfheim:irisLamp, tile.irisLamp.name
alfheim:irisLeaves0:0, Цветная листва
alfheim:irisLeaves0:1, Цветная листва
alfheim:irisLeaves0:2, Цветная листва
alfheim:irisLeaves0:3, Цветная листва
alfheim:irisLeaves0:4, Цветная листва
alfheim:irisLeaves0:5, Цветная листва
alfheim:irisLeaves0:6, Цветная листва
alfheim:irisLeaves0:7, Цветная листва
alfheim:irisLeaves1:0, Цветная листва
alfheim:irisLeaves1:1, Цветная листва
alfheim:irisLeaves1:2, Цветная листва
alfheim:irisLeaves1:3, Цветная листва
alfheim:irisLeaves1:4, Цветная листва
alfheim:irisLeaves1:5, Цветная листва
alfheim:irisLeaves1:6, Цветная листва
alfheim:irisLeaves1:7, Цветная листва
alfheim:irisGrass:0, Цветная трава
alfheim:irisGrass:1, Цветная трава
alfheim:irisGrass:2, Цветная трава
alfheim:irisGrass:3, Цветная трава
alfheim:irisGrass:4, Цветная трава
alfheim:irisGrass:5, Цветная трава
alfheim:irisGrass:6, Цветная трава
alfheim:irisGrass:7, Цветная трава
alfheim:irisGrass:8, Цветная трава
alfheim:irisGrass:9, Цветная трава
alfheim:irisGrass:10, Цветная трава
alfheim:irisGrass:11, Цветная трава
alfheim:irisGrass:12, Цветная трава
alfheim:irisGrass:13, Цветная трава
alfheim:irisGrass:14, Цветная трава
alfheim:irisGrass:15, Цветная трава
alfheim:irisPlanks:0, Цветные доски
alfheim:irisPlanks:1, Цветные доски
alfheim:irisPlanks:2, Цветные доски
alfheim:irisPlanks:3, Цветные доски
alfheim:irisPlanks:4, Цветные доски
alfheim:irisPlanks:5, Цветные доски
alfheim:irisPlanks:6, Цветные доски
alfheim:irisPlanks:7, Цветные доски
alfheim:irisPlanks:8, Цветные доски
alfheim:irisPlanks:9, Цветные доски
alfheim:irisPlanks:10, Цветные доски
alfheim:irisPlanks:11, Цветные доски
alfheim:irisPlanks:12, Цветные доски
alfheim:irisPlanks:13, Цветные доски
alfheim:irisPlanks:14, Цветные доски
alfheim:irisPlanks:15, Цветные доски
alfheim:irisSapling, tile.irisSapling.name
alfheim:irisPlanksSlab0:0, Цветная плита
alfheim:irisPlanksSlab1:0, Цветная плита
alfheim:irisPlanksSlab2:0, Цветная плита
alfheim:irisPlanksSlab3:0, Цветная плита
alfheim:irisPlanksSlab4:0, Цветная плита
alfheim:irisPlanksSlab5:0, Цветная плита
alfheim:irisPlanksSlab6:0, Цветная плита
alfheim:irisPlanksSlab7:0, Цветная плита
alfheim:irisPlanksSlab8:0, Цветная плита
alfheim:irisPlanksSlab9:0, Цветная плита
alfheim:irisPlanksSlab10:0, Цветная плита
alfheim:irisPlanksSlab11:0, Цветная плита
alfheim:irisPlanksSlab12:0, Цветная плита
alfheim:irisPlanksSlab13:0, Цветная плита
alfheim:irisPlanksSlab14:0, Цветная плита
alfheim:irisPlanksSlab15:0, Цветная плита
alfheim:irisPlanksSlabFull0:0, Цветная плита
alfheim:irisPlanksSlabFull1:0, Цветная плита
alfheim:irisPlanksSlabFull2:0, Цветная плита
alfheim:irisPlanksSlabFull3:0, Цветная плита
alfheim:irisPlanksSlabFull4:0, Цветная плита
alfheim:irisPlanksSlabFull5:0, Цветная плита
alfheim:irisPlanksSlabFull6:0, Цветная плита
alfheim:irisPlanksSlabFull7:0, Цветная плита
alfheim:irisPlanksSlabFull8:0, Цветная плита
alfheim:irisPlanksSlabFull9:0, Цветная плита
alfheim:irisPlanksSlabFull10:0, Цветная плита
alfheim:irisPlanksSlabFull11:0, Цветная плита
alfheim:irisPlanksSlabFull12:0, Цветная плита
alfheim:irisPlanksSlabFull13:0, Цветная плита
alfheim:irisPlanksSlabFull14:0, Цветная плита
alfheim:irisPlanksSlabFull15:0, Цветная плита
alfheim:irisPlanksStairs0:0, Цветные ступеньки
alfheim:irisPlanksStairs1:0, Цветные ступеньки
alfheim:irisPlanksStairs2:0, Цветные ступеньки
alfheim:irisPlanksStairs3:0, Цветные ступеньки
alfheim:irisPlanksStairs4:0, Цветные ступеньки
alfheim:irisPlanksStairs5:0, Цветные ступеньки
alfheim:irisPlanksStairs6:0, Цветные ступеньки
alfheim:irisPlanksStairs7:0, Цветные ступеньки
alfheim:irisPlanksStairs8:0, Цветные ступеньки
alfheim:irisPlanksStairs9:0, Цветные ступеньки
alfheim:irisPlanksStairs10:0, Цветные ступеньки
alfheim:irisPlanksStairs11:0, Цветные ступеньки
alfheim:irisPlanksStairs12:0, Цветные ступеньки
alfheim:irisPlanksStairs13:0, Цветные ступеньки
alfheim:irisPlanksStairs14:0, Цветные ступеньки
alfheim:irisPlanksStairs15:0, Цветные ступеньки
alfheim:irisDoubleGrass0:0, Цветная высокая трава
alfheim:irisDoubleGrass0:1, Цветная высокая трава
alfheim:irisDoubleGrass0:2, Цветная высокая трава
alfheim:irisDoubleGrass0:3, Цветная высокая трава
alfheim:irisDoubleGrass0:4, Цветная высокая трава
alfheim:irisDoubleGrass0:5, Цветная высокая трава
alfheim:irisDoubleGrass0:6, Цветная высокая трава
alfheim:irisDoubleGrass0:7, Цветная высокая трава
alfheim:irisDoubleGrass1:0, Цветная высокая трава
alfheim:irisDoubleGrass1:1, Цветная высокая трава
alfheim:irisDoubleGrass1:2, Цветная высокая трава
alfheim:irisDoubleGrass1:3, Цветная высокая трава
alfheim:irisDoubleGrass1:4, Цветная высокая трава
alfheim:irisDoubleGrass1:5, Цветная высокая трава
alfheim:irisDoubleGrass1:6, Цветная высокая трава
alfheim:irisDoubleGrass1:7, Цветная высокая трава
alfheim:irisWood0:0, Цветная древесина
alfheim:irisWood0:1, Цветная древесина
alfheim:irisWood0:2, Цветная древесина
alfheim:irisWood0:3, Цветная древесина
alfheim:irisWood1:0, Цветная древесина
alfheim:irisWood1:1, Цветная древесина
alfheim:irisWood1:2, Цветная древесина
alfheim:irisWood1:3, Цветная древесина
alfheim:irisWood2:0, Цветная древесина
alfheim:irisWood2:1, Цветная древесина
alfheim:irisWood2:2, Цветная древесина
alfheim:irisWood2:3, Цветная древесина
alfheim:irisWood3:0, Цветная древесина
alfheim:irisWood3:1, Цветная древесина
alfheim:irisWood3:2, Цветная древесина
alfheim:irisWood3:3, Цветная древесина
alfheim:HelheimBlock, Твердь Хельхейма
alfheim:kindling, tile.kindling.name
alfheim:LivingCobble:0, Жизнебулыжник
alfheim:LivingCobble:1, Полированный жизнекамень
alfheim:LivingCobble:2, Прессованный жизнекамень
alfheim:LivingCobble:3, Замшелый жизнебулыжник
alfheim:Lootbox, tile.Lootbox.name
alfheim:livingwoodFunnel, tile.livingwoodFunnel.name
alfheim:ManaAccelerator, tile.ManaAccelerator.name
alfheim:manaFluid, Жидкая мана
alfheim:ManaInfuser, tile.ManaInfuser.name
alfheim:ManaTuner, tile.ManaTuner.name
alfheim:NidhoggTooth, Обломок зуба Нидхёгга
alfheim:NiflheimBlock:0, Промёрзший камень
alfheim:NiflheimBlock:1, Промёрзший булыжник
alfheim:NiflheimBlock:2, Руда нифлёра
alfheim:NiflheimBlock:3, Промёрзшие каменные кирпичи
alfheim:NiflheimBlock:4, Потрескавшиеся промёрзшие каменные кирпичи
alfheim:NiflheimBlock:5, Резные промёрзшие каменные кирпичи
alfheim:NiflheimBlock:6, Полированный промёрзший камень
alfheim:NiflheimBlock:7, Промёрзшая каменная колонна
alfheim:NiflheimBlock:10, Рунический промёрзший камень
alfheim:NiflheimPortal, Воды Хвергельмира
alfheim:NiflheimIce, tile.NiflheimIce.name
alfheim:PowerStone:0, Камень нуля
alfheim:PowerStone:1, Камень берсерка
alfheim:PowerStone:2, Камень танка
alfheim:PowerStone:3, Камень ниндзя
alfheim:PowerStone:4, Камень овермага
alfheim:RaceSelector, tile.RaceSelector.name
alfheim:rainbowDirt:0, Цветная земля
alfheim:rainbowFlame, tile.rainbowFlame.name
alfheim:miniIslandRainbow:0, Парящий цветок Бифроста
alfheim:rainbowLeaves:0, Цветная листва
alfheim:rainbowGrass:0, Цветная трава
alfheim:rainbowGrass:1, Цветная трава
alfheim:rainbowGrass:2, Мистический цветок Бифроста
alfheim:rainbowGrass:3, Светящийся цветок Бифроста
alfheim:rainbowMushroom, tile.rainbowMushroom.name
alfheim:rainbowPetalBlock, tile.rainbowPetalBlock.name
alfheim:rainbowPlanks:0, Цветные доски
alfheim:rainbowPlanksSlab:0, Цветная плита
alfheim:rainbowPlanksSlabFull:0, Цветная плита
alfheim:rainbowPlanksStairs:0, Цветные ступеньки
alfheim:rainbowDoubleGrass:0, Цветная высокая трава
alfheim:rainbowDoubleGrass:1, Цветная высокая трава
alfheim:rainbowDoubleFlower:0, Высокий мистический цветок Бифроста
alfheim:rainbowWood:0, Цветная древесина
alfheim:RealityAnchor, tile.RealityAnchor.name
alfheim:MuspelheimFire, tile.MuspelheimFire.name
alfheim:RedstoneRelay, tile.RedstoneRelay.name
alfheim:Rift, tile.Rift.name
alfheim:RealmPowerCollector:0, Огненное ядро собирателя силы царств
alfheim:RealmPowerCollector:1, Ледяное ядро собирателя силы царств
alfheim:RealmPowerCollector:2, Огненная рамка собирателя силы царств
alfheim:RealmPowerCollector:3, Ледяная рамка собирателя силы царств
alfheim:leaves:0, Дубовые листья
alfheim:schematicAnnihilator, tile.schematicAnnihilator.name
alfheim:schemaController, tile.schemaController.name
alfheim:schemaFiller, tile.schemaFiller.name
alfheim:schematicOak, tile.schematicOak.name
alfheim:schemaMarker, tile.schemaMarker.name
alfheim:quartzTypeShimmer:0, Блок светящегося кварца
alfheim:quartzTypeShimmer:1, Резной блок светящегося кварца
alfheim:quartzTypeShimmer:2, Колонна из светящегося кварца
alfheim:quartzTypeShimmer:5, Затемнённый блок светящегося кварца
alfheim:quartzTypeShimmer:6, Гладкий блок светящегося кварца
alfheim:quartzSlabShimmerHalf:0, Плита из светящегося кварца
alfheim:quartzSlabShimmerFull:0, Плита из светящегося кварца
alfheim:quartzStairsShimmer, tile.quartzStairsShimmer.name
alfheim:SnakeObject:0, Яйцо змеи
alfheim:SnowGrass, tile.SnowGrass.name
alfheim:SnowLayer, tile.SnowLayer.name
alfheim:Spire, tile.Spire.name
alfheim:starBlock, tile.starBlock.name
alfheim:cracklingStar, tile.cracklingStar.name
alfheim:Stalactite:0, Сталактит
alfheim:Stalactite:1, Сталактит
alfheim:Stalactite:2, Сталактит
alfheim:Stalactite:3, Сталактит
alfheim:Stalactite:4, Сталактит
alfheim:Stalactite:5, Сталактит
alfheim:Stalactite:6, Сталактит
alfheim:Stalactite:7, Сталактит
alfheim:Stalagmite:0, Сталагмит
alfheim:Stalagmite:1, Сталагмит
alfheim:Stalagmite:2, Сталагмит
alfheim:Stalagmite:3, Сталагмит
alfheim:Stalagmite:4, Сталагмит
alfheim:Stalagmite:5, Сталагмит
alfheim:Stalagmite:6, Сталагмит
alfheim:Stalagmite:7, Сталагмит
alfheim:Subspacian, tile.Subspacian.name
alfheim:TradePortal, tile.TradePortal.name
alfheim:treeCrafter, tile.treeCrafter.name
alfheim:treeCrafterRB, tile.treeCrafterRB.name
alfheim:treeCrafterAU, tile.treeCrafterAU.name
alfheim:WorldTree, tile.WorldTree.name
alfheim:YggdrasilFlower, tile.YggdrasilFlower.name
alfheim:altLeaves:0, Сухая листва
alfheim:altLeaves:1, Золотая листва
alfheim:altLeaves:2, Яркая листва
alfheim:altLeaves:3, Выжженная листва
alfheim:altLeaves:4, Настоянная листва
alfheim:altLeaves:5, Видоизменённая листва
alfheim:altLeaves:6, Листва Иггдрасиля
alfheim:altLeaves:7, Листва древа мечтаний
alfheim:altPlanks:0, Сухие доски
alfheim:altPlanks:1, Золотые доски
alfheim:altPlanks:2, Яркие доски
alfheim:altPlanks:3, Выжженные доски
alfheim:altPlanks:4, Настоянные доски
alfheim:altPlanks:5, Видоизменённые доски
alfheim:altPlanks:6, Доски Иггдрасиля
alfheim:altPlanksSlab:0, Плита из сухой древесины
alfheim:altPlanksSlab:1, Плита из золотой древесины
alfheim:altPlanksSlab:2, Плита из яркой древесины
alfheim:altPlanksSlab:3, Плита из выжженной древесины
alfheim:altPlanksSlab:4, Плита из настоянной древесины
alfheim:altPlanksSlab:5, Плита из видоизменённой древесины
alfheim:altPlanksSlab:6, Плита из древесины Иггдрасиля
alfheim:altPlanksSlabFull:0, Плита из сухой древесины
alfheim:altPlanksSlabFull:1, Плита из золотой древесины
alfheim:altPlanksSlabFull:2, Плита из яркой древесины
alfheim:altPlanksSlabFull:3, Плита из выжженной древесины
alfheim:altPlanksSlabFull:4, Плита из настоянной древесины
alfheim:altPlanksSlabFull:5, Плита из видоизменённой древесины
alfheim:altPlanksSlabFull:6, Плита из древесины Иггдрасиля
alfheim:altPlanksStairs0, tile.altPlanksStairs0.name
alfheim:altPlanksStairs1, tile.altPlanksStairs1.name
alfheim:altPlanksStairs2, tile.altPlanksStairs2.name
alfheim:altPlanksStairs3, tile.altPlanksStairs3.name
alfheim:altPlanksStairs4, tile.altPlanksStairs4.name
alfheim:altPlanksStairs5, tile.altPlanksStairs5.name
alfheim:altPlanksStairs6, tile.altPlanksStairs6.name
alfheim:altWood0:0, Сухая древесина
alfheim:altWood0:1, Золотая древесина
alfheim:altWood0:2, Яркая древесина
alfheim:altWood0:3, Выжженная древесина
alfheim:altWood1:0, Настоянная древесина
alfheim:altWood1:1, Видоизменённая древесина
alfheim:altWood1:2, Древесина Иггдрасиля
alfheim:altWood1:3, Ствол древа мечтаний
alfheim:barrierLeaves, tile.barrierLeaves.name
alfheim:TreeBerry0, tile.TreeBerry0.name
alfheim:barrierPlanks, tile.barrierPlanks.name
alfheim:barrierSapling, tile.barrierSapling.name
alfheim:barrierPlanksSlab:0, Плита из досок барьерного дерева
alfheim:barrierPlanksSlabFull:0, Плита из досок барьерного дерева
alfheim:barrierPlanksStairs, tile.barrierPlanksStairs.name
alfheim:barrierWood, tile.barrierWood.name
alfheim:calicoLeaves, tile.calicoLeaves.name
alfheim:TreeBerry1, tile.TreeBerry1.name
alfheim:calicoPlanks, tile.calicoPlanks.name
alfheim:calicoSapling, tile.calicoSapling.name
alfheim:calicoPlanksSlab:0, Плита из досок кошачьего дерева
alfheim:calicoPlanksSlabFull:0, Плита из досок кошачьего дерева
alfheim:calicoPlanksStairs, tile.calicoPlanksStairs.name
alfheim:calicoWood, tile.calicoWood.name
alfheim:circuitLeaves, tile.circuitLeaves.name
alfheim:TreeBerry2, tile.TreeBerry2.name
alfheim:circuitPlanks, tile.circuitPlanks.name
alfheim:circuitSapling, tile.circuitSapling.name
alfheim:circuitPlanksSlab:0, Плита из досок схемодрева
alfheim:circuitPlanksSlabFull:0, Плита из досок схемодрева
alfheim:circuitPlanksStairs, tile.circuitPlanksStairs.name
alfheim:circuitWood, tile.circuitWood.name
alfheim:lightningLeaves, tile.lightningLeaves.name
alfheim:TreeBerry3, tile.TreeBerry3.name
alfheim:lightningPlanks, tile.lightningPlanks.name
alfheim:lightningSapling, tile.lightningSapling.name
alfheim:lightningPlanksSlab:0, Плита из грозовой древесины
alfheim:lightningPlanksSlabFull:0, Плита из грозовой древесины
alfheim:lightningPlanksStairs, tile.lightningPlanksStairs.name
alfheim:lightningWood, tile.lightningWood.name
alfheim:netherLeaves, tile.netherLeaves.name
alfheim:TreeBerry4, tile.TreeBerry4.name
alfheim:netherPlanks, tile.netherPlanks.name
alfheim:netherSapling, tile.netherSapling.name
alfheim:netherPlanksSlab:0, Плита из адской древесины
alfheim:netherPlanksSlabFull:0, Плита из адской древесины
alfheim:netherPlanksStairs, tile.netherPlanksStairs.name
alfheim:netherWood, tile.netherWood.name
alfheim:sealingLeaves, tile.sealingLeaves.name
alfheim:TreeBerry5, tile.TreeBerry5.name
alfheim:sealingPlanks, tile.sealingPlanks.name
alfheim:sealingSapling, tile.sealingSapling.name
alfheim:sealingPlanksSlab:0, Плита из уплотнённой древесины
alfheim:sealingPlanksSlabFull:0, Плита из уплотнённой древесины
alfheim:sealingPlanksStairs, tile.sealingPlanksStairs.name
alfheim:sealingWood, tile.sealingWood.name
alfheim:AlfheimThaumOre:0, Киноварь
alfheim:AlfheimThaumOre:1, Грозовая руда
alfheim:AlfheimThaumOre:2, Огненная руда
alfheim:AlfheimThaumOre:3, Ледяная руда
alfheim:AlfheimThaumOre:4, Руда земляного кристалла
alfheim:AlfheimThaumOre:5, Руда кристалла порядка
alfheim:AlfheimThaumOre:6, Энтропийная руда
alfheim:AlfheimThaumOre:7, Янтарная руда
arsmagica2:essenceRefiner, Обогатитель сущностей
arsmagica2:mageTorch, Магический свет
arsmagica2:essenceConduit, Проводник эфириума
arsmagica2:obelisk, Обелиск
arsmagica2:calefactor, Калефактор
arsmagica2:blockCaster, Заклинатель
arsmagica2:CasterRune, Руна-Заклинатель
arsmagica2:keystoneReceptacle, Рунная скважина Врат
arsmagica2:astralBarrier, Астральный барьер
arsmagica2:blackAurem, Черносферий
arsmagica2:celestialPrism, Небесная призма
arsmagica2:seerStone, Камень-провидец
arsmagica2:vinteumOre:0, Винтеумная руда
arsmagica2:vinteumOre:1, Химеритовая руда
arsmagica2:vinteumOre:2, Руда голубого топаза
arsmagica2:vinteumOre:3, Руда лунного камня
arsmagica2:vinteumOre:4, Руда солнечного камня
arsmagica2:vinteumOre:5, Блок лунного камня
arsmagica2:vinteumOre:6, Винтеумный блок
arsmagica2:vinteumOre:7, Блок голубого топаза
